"tienda","categoria","sub_categoria","nombre","precio","fecha","precio_num","grupo"
"Farmacorp","abarrotes","cafe","Nescafe Cafe Vainilla X 150G","Ahora Bs46,60",2025-06-12,46.6,"1"
"Farmacorp","abarrotes","cafe","Buena Vista Café Molido Autentico X 250G","Bs36,00",2025-06-12,36,"1"
"Farmacorp","abarrotes","cafe","Nescafe Gold Blend X 100G","Ahora Bs121,50",2025-06-12,121.5,"3"
"Farmacorp","abarrotes","cafe","Buena Vista Café Molido A Toda Hora X 500G","Bs60,60",2025-06-12,60.6,"1"
"Farmacorp","abarrotes","cafe","Iguazu Cafe Gourmet Pouch X 40/50Gr","Bs41,60",2025-06-12,41.6,"1"
"Farmacorp","abarrotes","cafe","Iguazu Cafe Frasco X 200G","Bs106,40",2025-06-12,106.4,"3"
"Farmacorp","abarrotes","cafe","Café Iguacu Gourmet Tapa Dorada X 100G","Bs97,60",2025-06-12,97.6,"3"
"Farmacorp","abarrotes","cafe","Buena Vista Café Molido Premium Samaipata X 250G","Bs51,70",2025-06-12,51.7,"1"
"Farmacorp","abarrotes","cafe","Iguazu Cafe Cappuccino Frasco Classic X 200G","Bs55,10",2025-06-12,55.1,"1"
"Farmacorp","abarrotes","cafe","Buena Vista Café Molido Premium Europeo X 250G","Bs51,70",2025-06-12,51.7,"1"
"Farmacorp","abarrotes","cafe","Buena Vista Café Molido Premium Americano X 250G","Bs51,70",2025-06-12,51.7,"1"
"Farmacorp","abarrotes","cafe","Iguazu Cafe Cappuccino Frasco Chocolate X 200G","Bs55,10",2025-06-12,55.1,"1"
"Farmacorp","abarrotes","cafe","Monaco Cafe Premium Paquete X 40 Sobres/1.5G","Bs63,60",2025-06-12,63.6,"1"
"Farmacorp","abarrotes","chocolates","Chocolike Inst Bolsa X 1Kg","Ahora Bs47,50",2025-06-12,47.5,"1"
"Farmacorp","abarrotes","chocolates","Chocolike Instantaneo Bolsa X 400G","Ahora Bs20,40",2025-06-12,20.4,"1"
"Farmacorp","abarrotes","chocolates","Toddy Chocolate X 200G","Ahora Bs25,70",2025-06-12,25.7,"1"
"Farmacorp","abarrotes","chocolates","Chocolike Instánea Bolsa X 200G","Ahora Bs12,30",2025-06-12,12.3,"1"
"Farmacorp","abarrotes","chocolates","Toddy Original Chocolate X 1.8Kg","Bs148,40",2025-06-12,148.4,"3"
"Farmacorp","abarrotes","chocolates","Chocolike Instantáneo X 400G","Ahora Bs26,40",2025-06-12,26.4,"1"
"Farmacorp","abarrotes","chocolates","Chocolike Instantaneo Frutilla Bolsa X 400G","Bs19,70",2025-06-12,19.7,"1"
"Farmacorp","abarrotes","hierbas y mates","Windsor Mate Manzanilla X 20 Unidades","Bs8,70",2025-06-12,8.7,"1"
"Farmacorp","abarrotes","hierbas y mates","Windsor Mate Manzanilla X 50 Unidades","Bs22,00",2025-06-12,22,"1"
"Farmacorp","abarrotes","hierbas y mates","Hindu Te Manzanilla Y Jenjibre Sabor Miel X 20 Unidades","Ahora Bs36,20",2025-06-12,36.2,"1"
"Farmacorp","abarrotes","hierbas y mates","Windsor Mate Manzanilla X 100 Unidades","Bs38,70",2025-06-12,38.7,"1"
"Farmacorp","abarrotes","hierbas y mates","Hindu Te Manzanilla X 20 Unidades","Ahora Bs29,30",2025-06-12,29.3,"1"
"Farmacorp","abarrotes","hierbas y mates","Windsor Mate Trimate X 50 Unidades","Bs24,00",2025-06-12,24,"1"
"Farmacorp","abarrotes","hierbas y mates","Windsor Mate Coca Anis Manzanilla Trimate X 100 Sobres","Bs41,30",2025-06-12,41.3,"1"
"Farmacorp","abarrotes","hierbas y mates","Yerba Mate Campesino Menta Limon X 500G","Bs35,00",2025-06-12,35,"1"
"Farmacorp","abarrotes","hierbas y mates","Yerba Mate Campesino Menta Y Boldo X 500G","Bs42,30",2025-06-12,42.3,"1"
"Farmacorp","abarrotes","hierbas y mates","Yerba Mate Campesino Cedron X 500G","Bs35,00",2025-06-12,35,"1"
"Farmacorp","abarrotes","hierbas y mates","Yerba Mate Campesino Refrescante X 500G","Bs35,00",2025-06-12,35,"1"
"Farmacorp","abarrotes","hierbas y mates","Frutte Infusion De Manzanilla X 100 Unidades","Ahora Bs28,20",2025-06-12,28.2,"1"
"Farmacorp","abarrotes","hierbas y mates","Frutte Surtido De Mates X 100 Sobres","Ahora Bs28,90",2025-06-12,28.9,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Windsor Mate Manzanilla X 20 Unidades","Bs8,70",2025-06-12,8.7,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Hindu Te Frio Light Frutos Rojos X 300G","Bs66,90",2025-06-12,66.9,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Nutrinat Te Verde Matcha X 200G","Ahora Bs56,60",2025-06-12,56.6,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Chocolike Inst Bolsa X 1Kg","Ahora Bs47,50",2025-06-12,47.5,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Windsor Mate Manzanilla X 50 Unidades","Bs22,00",2025-06-12,22,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Nescafe Cafe Vainilla X 150G","Ahora Bs46,60",2025-06-12,46.6,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Chocolike Instantaneo Bolsa X 400G","Ahora Bs20,40",2025-06-12,20.4,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Hindu Te Jengibre Naranja Curcuma X 20 Unidades","Ahora Bs48,80",2025-06-12,48.8,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Hindu Te Manzanilla Y Jenjibre Sabor Miel X 20 Unidades","Ahora Bs36,20",2025-06-12,36.2,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Buena Vista Café Molido Autentico X 250G","Bs36,00",2025-06-12,36,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Hindu Te Descanso Natural Para La Noche X 20 Unidades","Bs48,60",2025-06-12,48.6,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Hindu Ice Tea Light Frutos Salvajes X 300G","Bs65,10",2025-06-12,65.1,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Windsor Té Con Canela X 50 Unidades","Bs21,30",2025-06-12,21.3,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Toddy Chocolate X 200G","Ahora Bs25,70",2025-06-12,25.7,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Nescafe Gold Blend X 100G","Ahora Bs121,50",2025-06-12,121.5,"3"
"Farmacorp","abarrotes","infusiones te cafe y otros","Hindu Te Jengibre X 20 Unidades","Ahora Bs49,00",2025-06-12,49,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Windsor Té Con Canela X 20 Unidades","Ahora Bs7,60",2025-06-12,7.6,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Windsor Mate Manzanilla X 100 Unidades","Bs38,70",2025-06-12,38.7,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Buena Vista Café Molido A Toda Hora X 500G","Bs60,60",2025-06-12,60.6,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Hindu Te Verde Flor De Jamaica X 20 Unidades","Bs39,90",2025-06-12,39.9,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Hindu Te Verde Jengibre-Miel X 20 Unidades","Bs39,80",2025-06-12,39.8,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Windsor Té Clásico X 50 Unidades","Bs21,30",2025-06-12,21.3,"1"
