"tienda","categoria","nombre","precio","fecha"
"Fidalga","abarrotes","Pan Frances por Unidad","Bs1,00",2025-06-12
"Fidalga","abarrotes","Aji Panca Picante Sibarita de 85 gr","Bs0,60",2025-06-12
"Fidalga","abarrotes","Gelatina Cereza Yeli 110 g","Bs2,30",2025-06-12
"Fidalga","abarrotes","Gelatina de Naranja Yeli 110 g","Bs2,40",2025-06-12
"Fidalga","abarrotes","Gelatina de PiÃ±a Yeli de 110 gr","Bs2,50",2025-06-12
"Fidalga","abarrotes","Gelatina de Frambuesa Yeli de 110 gr","Bs2,50",2025-06-12
"Fidalga","abarrotes","Gelatina de Frutilla Yeli de 120 gr","Bs2,50",2025-06-12
"Fidalga","abarrotes","Te con Canela Miki de 20 Uni","Bs2,80",2025-06-12
"Fidalga","abarrotes","Sal Yodada y Fluorada de 1000 gr","Bs4,60",2025-06-12
"Fidalga","abarrotes","Ketchup Kris de 60 gr","Bs5,00",2025-06-12
"Fidalga","abarrotes","Mayonesa Original Kris de 60 gr","Bs5,00",2025-06-12
"Fidalga","abarrotes","Te con Canela Ceylan de 20 Uni","Bs5,20",2025-06-12
"Fidalga","abarrotes","Te de Canela y Clavo de Olor Ceylan de 20 Uni","Bs5,60",2025-06-12
"Fidalga","abarrotes","Te Clasico Windsor de 20 Uni","Bs5,80",2025-06-12
"Fidalga","abarrotes","Picadillo de Carne Safra 90 g","Bs5,80",2025-06-12
"Fidalga","abarrotes","Flan sabor Vainilla Kris de 60 gr","Bs6,00",2025-06-12
"Fidalga","abarrotes","Flan de vainilla Miki 120 g","Bs6,00",2025-06-12
"Fidalga","abarrotes","Sopa Instantanea saboor Costilla Nissin Ramen de 85 gr","Bs6,00",2025-06-12
"Fidalga","abarrotes","Sopa Instantanea de Pollo y Verdura Ajinomen 80 g","Bs6,20",2025-06-12
"Fidalga","abarrotes","Sopa Instantanea sabor Costilla de Res AjÃ­-No-Men 80 g","Bs6,20",2025-06-12
"Fidalga","bebidas","Pan Frances por Unidad","Bs1,00",2025-06-12
"Fidalga","bebidas","Jugo de Manzana Ades 1 l","Bs13,00",2025-06-12
"Fidalga","bebidas","Fernet Branca 750 ml","Bs102,00",2025-06-12
"Fidalga","bebidas","Cerveza Zero Grau Conti de 269 ml","Bs5,60",2025-06-12
"Fidalga","bebidas","Gaseosa Coca-Cola 3 L","Bs18,00",2025-06-12
"Fidalga","bebidas","Nectar de Manzana Frutts Pura Vida de 2000 ml","Bs15,00",2025-06-12
"Fidalga","bebidas","Gaseosa Sprite 2 L","Bs13,70",2025-06-12
